Epoch, Step, Loss, Lr, Time
10, 2401, 3.3200, 0.000998, 1188.19
10, 2501, 3.2524, 0.000998, 1237.50
11, 1, 3.3614, 0.000998, 5.93
11, 101, 3.5997, 0.000998, 58.41
11, 201, 3.3629, 0.000998, 106.47
11, 301, 3.3730, 0.000998, 157.89
11, 401, 3.2671, 0.000998, 205.53
11, 501, 3.3843, 0.000998, 258.98
11, 601, 3.5089, 0.000998, 307.25
11, 701, 3.2492, 0.000998, 358.94
11, 801, 3.3562, 0.000998, 409.15
11, 901, 3.4666, 0.000998, 459.09
11, 1001, 3.2890, 0.000998, 508.98
11, 1101, 3.3560, 0.000998, 557.64
11, 1201, 3.3360, 0.000998, 606.62
11, 1301, 3.1975, 0.000998, 657.30
11, 1401, 3.3279, 0.000998, 708.10
11, 1501, 3.1486, 0.000998, 757.56
11, 1601, 3.2751, 0.000998, 811.79
11, 1701, 3.0870, 0.000998, 858.29
11, 1801, 3.3725, 0.000998, 907.79
11, 1901, 3.2942, 0.000998, 955.56
11, 2001, 3.2374, 0.000998, 1007.73
11, 2101, 3.3064, 0.000998, 1054.39
11, 2201, 3.3162, 0.000998, 1104.97
11, 2301, 3.2229, 0.000998, 1154.91
11, 2401, 3.1125, 0.000998, 1204.08
11, 2501, 3.3678, 0.000998, 1254.10
12, 1, 3.4116, 0.000998, 5.30
12, 101, 3.3309, 0.000998, 53.51
12, 201, 3.1104, 0.000998, 102.82
12, 301, 3.2745, 0.000998, 153.17
12, 401, 3.1215, 0.000998, 202.47
12, 501, 3.0840, 0.000998, 252.60
12, 601, 3.2411, 0.000997, 303.00
12, 701, 3.3156, 0.000997, 350.96
12, 801, 3.3403, 0.000997, 398.91
12, 901, 3.4269, 0.000997, 448.46
12, 1001, 3.2186, 0.000997, 498.38
12, 1101, 3.1739, 0.000997, 547.76
12, 1201, 3.1775, 0.000997, 596.51
12, 1301, 3.1324, 0.000997, 646.19
12, 1401, 3.2839, 0.000997, 696.19
12, 1501, 3.0082, 0.000997, 747.61
12, 1601, 3.2737, 0.000997, 799.58
12, 1701, 3.1380, 0.000997, 849.22
12, 1801, 3.2680, 0.000997, 898.89
12, 1901, 3.4202, 0.000997, 946.23
12, 2001, 3.0130, 0.000997, 996.48
12, 2101, 3.1588, 0.000997, 1045.46
12, 2201, 3.2489, 0.000997, 1095.28
12, 2301, 3.1098, 0.000997, 1144.59
12, 2401, 3.1100, 0.000997, 1192.57
12, 2501, 3.2358, 0.000997, 1242.60
13, 1, 3.0451, 0.000997, 5.51
13, 101, 2.9601, 0.000997, 56.04
13, 201, 3.1786, 0.000997, 104.96
13, 301, 3.1080, 0.000997, 153.81
13, 401, 3.2761, 0.000997, 201.94
13, 501, 3.0557, 0.000997, 251.39
13, 601, 3.2174, 0.000997, 302.89
13, 701, 3.3019, 0.000997, 349.96
13, 801, 3.0345, 0.000997, 402.63
13, 901, 3.1554, 0.000996, 451.67
13, 1001, 3.1426, 0.000996, 502.41
13, 1101, 3.1132, 0.000996, 553.75
13, 1201, 3.1960, 0.000996, 603.77
13, 1301, 3.2418, 0.000996, 652.91
13, 1401, 3.0260, 0.000996, 700.81
13, 1501, 3.2798, 0.000996, 751.18
13, 1601, 3.2021, 0.000996, 801.58
13, 1701, 3.1475, 0.000996, 852.18
13, 1801, 3.3215, 0.000996, 902.20
13, 1901, 3.0752, 0.000996, 953.84
13, 2001, 3.2727, 0.000996, 1005.95
13, 2101, 3.1518, 0.000996, 1053.51
